time,Red,Green,Blue,,accuracy,precision,,Red after Sorting,Green after sorting,Blue after sorting,,,Reading (red),Repeated,Accuracy,precision,,Reading (Green),Repeated,,Reading (Blue),Repeated
3263,168,225,174,,0.938547486,0.926719774,,168,219,168,,,168,3,0.938547486,0.926719774,,219,3,,168,3
9447,168,225,174,,0.938547486,0.926719774,,168,219,168,,,169,6,0.944134078,0.932235964,,222,17,,169,3
9479,168,226,175,,0.938547486,0.926719774,,169,220,168,,,171,8,0.955307263,0.943268342,,226,19,,170,19
3229,169,226,174,,0.944134078,0.932235964,,169,221,169,,,173,12,0.966480447,0.95430072,,227,40,,173,15
3829,169,228,176,,0.944134078,0.932235964,,169,221,169,,,174,29,0.972067039,0.959816909,,228,45,,174,29
8596,169,227,175,,0.944134078,0.932235964,,169,222,169,,,175,37,0.977653631,0.965333098,,229,52,,175,60
8630,169,227,175,,0.944134078,0.932235964,,169,222,170,,,176,85,0.983240223,0.970849288,,230,54,,176,63
8846,169,227,175,,0.944134078,0.932235964,,169,222,170,,,177,85,0.988826816,0.976365477,,233,64,,177,66
9228,169,227,175,,0.944134078,0.932235964,,170,222,170,,,180,106,0.994413408,0.992914044,,234,80,,180,100
7230,170,229,177,,0.94972067,0.937752153,,170,222,170,,,181,123,0.988826816,0.998430233,,236,87,,181,118
8813,170,228,176,,0.94972067,0.937752153,,170,222,170,,,182,113,0.983240223,0.996053578,,237,94,,182,120
9029,170,227,175,,0.94972067,0.937752153,,170,222,170,,,183,89,0.977653631,0.990537388,,238,53,,183,86
9829,170,228,177,,0.94972067,0.937752153,,171,222,170,,,187,81,0.955307263,0.968472632,,242,44,,187,85
2946,171,230,178,,0.955307263,0.943268342,,171,222,170,,,188,69,0.94972067,0.962956443,,244,44,,188,72
4178,171,230,177,,0.955307263,0.943268342,,171,222,170,,,189,43,0.944134078,0.957440254,,245,28,,189,33
5012,171,229,176,,0.955307263,0.943268342,,171,222,170,,,190,13,0.938547486,0.951924065,,246,12,,190,19
8080,171,231,178,,0.955307263,0.943268342,,171,222,170,,,,,,,,247,9,,191,2
8363,171,229,177,,0.955307263,0.943268342,,171,222,170,,,MEAN,181.2845745,,,,MEAN,235.0407801,,193,2
8396,171,230,178,,0.955307263,0.943268342,,171,222,170,,,Standard Dev.,4.59520714,,,,Standard Dev.,5.803964324,,MEAN,181.1206744
8995,171,229,176,,0.955307263,0.943268342,,171,222,170,,,,,,,,,,,Standard Dev.,4.811508211
9863,171,230,178,,0.955307263,0.943268342,,172,222,170,,,,,,,,,,,,
2778,172,224,178,,0.960893855,0.948784531,,172,222,170,,,,,,,,,,,,
7578,172,232,172,,0.960893855,0.948784531,,172,223,170,,,,,,,,,,,,
33498,172,231,178,,0.960893855,0.948784531,,173,223,170,,,,,,,,,,,,
2746,173,231,178,,0.966480447,0.95430072,,173,223,170,,,,,,,,,,,,
6579,173,227,179,,0.966480447,0.95430072,,173,223,171,,,,,,,,,,,,
10012,173,233,179,,0.966480447,0.95430072,,173,223,171,,,,,,,,,,,,
32048,173,231,173,,0.966480447,0.95430072,,173,223,171,,,,,,,,,,,,
32082,173,233,180,,0.966480447,0.95430072,,173,223,171,,,,,,,,,,,,
33447,173,232,179,,0.966480447,0.95430072,,173,223,171,,,,,,,,,,,,
33480,173,232,178,,0.966480447,0.95430072,,173,223,171,,,,,,,,,,,,
34080,173,234,180,,0.966480447,0.95430072,,173,223,171,,,,,,,,,,,,
34581,173,231,179,,0.966480447,0.95430072,,173,223,171,,,,,,,,,,,,
34647,173,233,180,,0.966480447,0.95430072,,173,224,171,,,,,,,,,,,,
35814,173,233,180,,0.966480447,0.95430072,,173,224,171,,,,,,,,,,,,
36232,173,234,179,,0.966480447,0.95430072,,174,224,171,,,,,,,,,,,,
3295,174,226,174,,0.972067039,0.959816909,,174,224,171,,,,,,,,,,,,
7129,174,226,168,,0.972067039,0.959816909,,174,224,172,,,,,,,,,,,,
7163,174,226,168,,0.972067039,0.959816909,,174,224,172,,,,,,,,,,,,
8879,174,219,174,,0.972067039,0.959816909,,174,224,172,,,,,,,,,,,,
9095,174,219,174,,0.972067039,0.959816909,,174,224,172,,,,,,,,,,,,
9129,174,225,174,,0.972067039,0.959816909,,174,224,172,,,,,,,,,,,,
9163,174,226,175,,0.972067039,0.959816909,,174,224,172,,,,,,,,,,,,
10330,174,234,180,,0.972067039,0.959816909,,174,225,172,,,,,,,,,,,,
10363,174,234,181,,0.972067039,0.959816909,,174,225,173,,,,,,,,,,,,
12780,174,233,181,,0.972067039,0.959816909,,174,225,173,,,,,,,,,,,,
13512,174,233,180,,0.972067039,0.959816909,,174,225,173,,,,,,,,,,,,
14997,174,233,180,,0.972067039,0.959816909,,174,225,173,,,,,,,,,,,,
15062,174,234,181,,0.972067039,0.959816909,,174,225,173,,,,,,,,,,,,
30782,174,233,179,,0.972067039,0.959816909,,174,225,173,,,,,,,,,,,,
31448,174,233,180,,0.972067039,0.959816909,,174,225,173,,,,,,,,,,,,
31865,174,234,180,,0.972067039,0.959816909,,174,225,173,,,,,,,,,,,,
31881,174,234,180,,0.972067039,0.959816909,,174,225,173,,,,,,,,,,,,
32748,174,233,180,,0.972067039,0.959816909,,174,226,173,,,,,,,,,,,,
32931,174,234,180,,0.972067039,0.959816909,,174,226,173,,,,,,,,,,,,
33214,174,235,180,,0.972067039,0.959816909,,174,226,173,,,,,,,,,,,,
33248,174,235,180,,0.972067039,0.959816909,,174,226,173,,,,,,,,,,,,
33731,174,234,180,,0.972067039,0.959816909,,174,226,173,,,,,,,,,,,,
33881,174,233,180,,0.972067039,0.959816909,,174,226,173,,,,,,,,,,,,
35665,174,234,180,,0.972067039,0.959816909,,174,226,174,,,,,,,,,,,,
35697,174,233,179,,0.972067039,0.959816909,,174,226,174,,,,,,,,,,,,
36082,174,234,180,,0.972067039,0.959816909,,174,226,174,,,,,,,,,,,,
36398,174,233,180,,0.972067039,0.959816909,,174,226,174,,,,,,,,,,,,
36515,174,233,180,,0.972067039,0.959816909,,174,226,174,,,,,,,,,,,,
36647,174,234,180,,0.972067039,0.959816909,,175,226,174,,,,,,,,,,,,
3328,175,226,176,,0.977653631,0.965333098,,175,226,174,,,,,,,,,,,,
3796,175,227,175,,0.977653631,0.965333098,,175,226,174,,,,,,,,,,,,
5545,175,227,169,,0.977653631,0.965333098,,175,226,174,,,,,,,,,,,,
5579,175,226,175,,0.977653631,0.965333098,,175,226,174,,,,,,,,,,,,
5612,175,227,175,,0.977653631,0.965333098,,175,226,174,,,,,,,,,,,,
7096,175,227,175,,0.977653631,0.965333098,,175,226,174,,,,,,,,,,,,
7196,175,227,176,,0.977653631,0.965333098,,175,226,174,,,,,,,,,,,,
8563,175,227,175,,0.977653631,0.965333098,,175,227,174,,,,,,,,,,,,
