Time,Reading,,Accuracy,Precision,,,,,,value,repeated,Accuracy,Precision
5548,10.57,,0.987850467,0.984474972,,,,,,10.57,1,0.987850467,0.984474972
6776,10.6,,0.990654206,0.98726913,,,,,,10.6,1,0.990654206,0.98726913
3193,10.63,,0.993457944,0.990063288,,,,,,10.63,81,0.993457944,0.990063288
4093,10.63,,0.993457944,0.990063288,,,,,,10.71,705,0.999065421,0.997514376
4693,10.63,,0.993457944,0.990063288,,,,,,10.75,364,0.995327103,0.99876008
4843,10.63,,0.993457944,0.990063288,,,,,,10.81,215,0.989719626,0.993171764
4995,10.63,,0.993457944,0.990063288,,,,,,10.82,50,0.988785047,0.992240379
5925,10.63,,0.993457944,0.990063288,,,,,,10.83,32,0.987850467,0.991308993
6677,10.63,,0.993457944,0.990063288,,,,,,,,,
7160,10.63,,0.993457944,0.990063288,,,,,MIN,10.57,,,
7459,10.63,,0.993457944,0.990063288,,,,,MAX,10.83,,,
7893,10.63,,0.993457944,0.990063288,,,,,MEAN (avrage),10.73668737,,,
8659,10.63,,0.993457944,0.990063288,,,,,STANDARED DEVIATION,0.047856682,,,
8693,10.63,,0.993457944,0.990063288,,,,,MEDIAN,10.71,,,
8827,10.63,,0.993457944,0.990063288,,,,,X_Actual,10.7,,,
8993,10.63,,0.993457944,0.990063288,,,,,,,,,
9126,10.63,,0.993457944,0.990063288,,,,,,,,,
9261,10.63,,0.993457944,0.990063288,,,,,,,,,
9443,10.63,,0.993457944,0.990063288,,,,,,,,,
9727,10.63,,0.993457944,0.990063288,,,,,,,,,
9743,10.63,,0.993457944,0.990063288,,,,,,,,,
10193,10.63,,0.993457944,0.990063288,,,,,,,,,
10344,10.63,,0.993457944,0.990063288,,,,,,,,,
10360,10.63,,0.993457944,0.990063288,,,,,,,,,
10777,10.63,,0.993457944,0.990063288,,,,,,,,,
10811,10.63,,0.993457944,0.990063288,,,,,,,,,
10826,10.63,,0.993457944,0.990063288,,,,,,,,,
11394,10.63,,0.993457944,0.990063288,,,,,,,,,
11694,10.63,,0.993457944,0.990063288,,,,,,,,,
12028,10.63,,0.993457944,0.990063288,,,,,,,,,
12494,10.63,,0.993457944,0.990063288,,,,,,,,,
12761,10.63,,0.993457944,0.990063288,,,,,,,,,
12794,10.63,,0.993457944,0.990063288,,,,,,,,,
13061,10.63,,0.993457944,0.990063288,,,,,,,,,
